Category,Subcategory,Procedure / Item,Condition / Trigger / Step,Price / Rate,Primary Question (English),Primary Question (Tagalog),Clinic Approved Response (English),Clinic Approved Response (Tagalog),Question Variations (English),Question Variations (Tagalog)
Pricelist,Dentures (Prosthodontics),Complete Ordinary Denture,Full Arch Prosthetics,"₱10,000",How much is a complete ordinary denture?,Magkano po ang kumpletong ordinaryong pustiso?,"A complete ordinary denture costs ₱10,000.","Ang kumpletong ordinaryong pustiso (complete denture) ay nagkakahalaga ng ₱10,000.",Cost of full set ordinary denture; Complete denture price; How much is complete false teeth?,Magkano ang buong pustiso taas at baba?; Presyo ng complete ordinary denture; Magkano ang buong set ng pustiso?
Pricelist,Dentures (Prosthodontics),Flexible Denture,Flexible Prosthetics,"₱15,000–₱20,000",How much is a flexible denture?,Magkano po ang flexible denture?,"Flexible dentures cost ₱15,000 to ₱20,000.","Ang flexible denture ay nagkakahalaga ng ₱15,000 hanggang ₱20,000.",Price of flexible dentures; Cost of Valplast/flexible false teeth; Flexible denture rate,Magkano ang flexible na pustiso?; Presyo ng Valplast o flexible dentures; Magkano flexible false teeth?
Pricelist,Dentures (Prosthodontics),Ivocap Denture,High-Impact Acrylic,"₱20,000",How much is an Ivocap denture?,Magkano po ang Ivocap denture?,"An Ivocap denture costs ₱20,000.","Ang Ivocap denture ay nagkakahalaga ng ₱20,000.",Cost of Ivocap denture; Ivocap denture price; How much is an Ivocap denture?,Presyo ng Ivocap na pustiso; Magkano Ivocap denture?; Halaga ng Ivocap false teeth
Pricelist,Dentures (Prosthodontics),Thermosen Denture,Thermoplastic Prosthetics,"₱20,000",How much is a Thermosen denture?,Magkano po ang Thermosen denture?,"A Thermosen denture costs ₱20,000.","Ang Thermosen denture ay nagkakahalaga ng ₱20,000.",Price of Thermosen denture; Thermosen false teeth cost; How much is Thermosen?,Presyo ng Thermosen pustiso; Magkano ang Thermosen denture?; Magkano thermoplastic denture?
Pricelist,Dentures (Prosthodontics),Unilateral Denture,Partial Prosthetics,50% of bilateral denture cost,How much is a unilateral denture?,Magkano po ang unilateral denture?,A unilateral denture is priced at half the cost of a bilateral denture.,Ang presyo ng unilateral denture ay kalahati ng halaga ng isang bilateral denture.,Cost of one-sided denture; Unilateral partial denture price; How much is unilateral denture?,Magkano ang pustiso sa isang bahagi lang?; Presyo ng one-sided partial denture; Magkano unilateral denture?
Pricelist,Dentures (Prosthodontics),Metal Framework,Denture Framework Component,"₱5,000",How much is a metal framework?,Magkano po ang metal framework para sa pustiso?,"A metal framework for dentures costs ₱5,000.","Ang metal framework ay nagkakahalaga ng ₱5,000.",Price of metal framework denture; Cast metal framework cost; How much is metal framework?,Presyo ng bakal o metal framework sa pustiso; Magkano metal frame pustiso?; Halaga ng cast metal framework
Pricelist,Dentures (Prosthodontics),Metal / Flexible Clasp,Denture Attachment,"₱2,000",How much is a metal or flexible clasp?,Magkano po ang metal o flexible clasp (kawit)?,"A metal or flexible clasp costs ₱2,000.","Ang bawat metal o flexible clasp ay nagkakahalaga ng ₱2,000.",Cost of flexible clasp; Metal clasp price for dentures; How much is clasp replacement?,Magkano ang kawit ng pustiso?; Presyo ng flexible clasp; Magkano palagay ng bagong kawit sa pustiso?
Pricelist,Dentures (Prosthodontics),Wire Clasp,Denture Attachment,₱500 per clasp,How much is a wire clasp?,Magkano po ang wire clasp (kawit na alambre)?,Wire clasps cost ₱500 per clasp.,Ang wire clasp ay nagkakahalaga ng ₱500 bawat clasp.,Price of wire clasp; How much per wire clasp for denture?; Wire retainer clasp cost,Magkano ang wire clasp kada isa?; Presyo ng kawit na alambre; Magkano palagay ng alambreng kawit sa pustiso?
Pricelist,Dentures (Prosthodontics),Metal Mesh,Denture Reinforcement,"₱2,000",How much is a metal mesh?,Magkano po ang metal mesh para sa pustiso?,"A metal mesh reinforcement costs ₱2,000.","Ang metal mesh para sa tibay ng pustiso ay nagkakahalaga ng ₱2,000.",Cost of metal mesh reinforcement; Denture mesh price; How much is metal mesh?,Presyo ng metal mesh reinforcement; Magkano ang bakal na mesh sa pustiso?; Dagdag na mesh sa pustiso presyo
Pricelist,Dentures (Prosthodontics),Palatal Lingual Wire,Denture Reinforcement,"₱1,000",How much is a palatal lingual wire?,Magkano po ang palatal lingual wire?,"A palatal lingual wire costs ₱1,000.","Ang palatal lingual wire ay nagkakahalaga ng ₱1,000.",Price of palatal wire; Lingual wire cost for denture; How much is palatal lingual wire?,Presyo ng palatal lingual wire; Magkano ang kawad sa ngala-ngala ng pustiso?; Halaga ng lingual wire
Pricelist,Dentures (Prosthodontics),Branded Pontic,Prosthetic Tooth Component,"₱3,000–₱5,000",How much is a branded pontic?,Magkano po ang branded pontic (ngipin sa pustiso)?,"Branded pontics cost ₱3,000 to ₱5,000.","Ang branded pontics ay nagkakahalaga ng ₱3,000 hanggang ₱5,000.",Cost of branded pontic; Branded artificial tooth price; How much is branded pontic?,Presyo ng branded na ngipin sa pustiso; Magkano ang branded pontic?; Halaga ng pekeng ngipin na branded
Pricelist,"Crowns, Bridges & Veneers",Composite Veneers,Esthetic Restoration,"Starts at ₱3,500",How much are composite veneers?,Magkano po ang composite veneers?,"Composite veneers start at ₱3,500 per tooth.","Ang composite veneers ay nagsisimula sa ₱3,500 bawat ngipin.",Cost of composite veneers; Veneers price per tooth; How much are direct composite veneers?,Magkano magpa-veneer?; Presyo ng composite veneers per ngipin; Magkano direct composite veneers?
Pricelist,"Crowns, Bridges & Veneers",Plastic Crown,Temporary / Economy Crown,"₱3,000",How much is a plastic crown?,Magkano po ang plastic crown (jacket)?,"A plastic crown costs ₱3,000.","Ang plastic crown ay nagkakahalaga ng ₱3,000.",Price of plastic dental crown; Plastic jacket crown cost; How much is plastic crown?,Presyo ng plastic jacket crown; Magkano ang plastic crown?; Magkano temporary o plastic jacket?
Pricelist,"Crowns, Bridges & Veneers",PFM Crown (Porcelain Fused to Metal),Fixed Prosthodontics,"₱9,500",How much is a PFM crown?,Magkano po ang PFM (Porcelain Fused to Metal) crown?,"A PFM (Porcelain Fused to Metal) crown costs ₱9,500.","Ang PFM crown ay nagkakahalaga ng ₱9,500 bawat ngipin.",PFM crown price; Cost of porcelain fused to metal crown; How much is PFM crown?,Presyo ng PFM crown; Magkano ang porcelain fused to metal crown?; Magkano PFM jacket crown?
Pricelist,"Crowns, Bridges & Veneers",Ceramage Crown,Micro-Hybrid Ceramic Crown,"₱9,500",How much is a Ceramage crown?,Magkano po ang Ceramage crown?,"A Ceramage crown costs ₱9,500.","Ang Ceramage crown ay nagkakahalaga ng ₱9,500.",Cost of Ceramage crown; Ceramage crown rate; How much is Ceramage jacket crown?,Presyo ng Ceramage crown; Magkano ang Ceramage jacket crown?; Halaga ng Ceramage crown
Pricelist,"Crowns, Bridges & Veneers",Tilite Crown,Premium Alloy Ceramic Crown,"₱10,500",How much is a Tilite crown?,Magkano po ang Tilite crown?,"A Tilite crown costs ₱10,500.","Ang Tilite crown ay nagkakahalaga ng ₱10,500.",Price of Tilite crown; Tilite dental crown cost; How much is a Tilite crown?,Presyo ng Tilite crown; Magkano ang Tilite jacket crown?; Magkano Tilite crown per tooth?
Pricelist,"Crowns, Bridges & Veneers",EMAX Crown,All-Ceramic Lithium Disilicate,"₱16,500",How much is an EMAX crown?,Magkano po ang EMAX crown?,"An EMAX crown costs ₱16,500.","Ang all-ceramic EMAX crown ay nagkakahalaga ng ₱16,500.",Cost of EMAX crown; All-ceramic EMAX crown price; How much is an EMAX crown?,Presyo ng EMAX crown; Magkano ang all ceramic EMAX jacket?; Magkano EMAX porcelain crown?
Pricelist,"Crowns, Bridges & Veneers",Zirconia Crown,High-Strength All-Ceramic,"₱20,500",How much is a Zirconia crown?,Magkano po ang Zirconia crown?,"A Zirconia crown costs ₱20,500.","Ang Zirconia crown ay nagkakahalaga ng ₱20,500.",Zirconia crown price; Cost of full zirconia tooth crown; How much is Zirconia crown?,Presyo ng Zirconia crown; Magkano ang full Zirconia jacket?; Magkano matibay na Zirconia crown?
Pricelist,Orthodontics (Braces),Metal Braces - Package Package / Total Price,Total Package,"₱35,000",How much do metal braces cost?,Magkano po ang kabuuang package ng metal braces?,"The total package price for metal braces is ₱35,000.","Ang kabuuang package price para sa metal braces ay ₱35,000.",Price of regular metal braces; How much are metal braces package?; Total cost of metal braces,Magkano magpalagay ng regular metal braces?; Kabuuang presyo ng metal braces; Magkano buong bayad sa metal braces?
Pricelist,Orthodontics (Braces),Metal Braces - Down Payment,Payment Plan / DP,"₱4,000",How much is the down payment for metal braces?,Magkano po ang down payment para sa metal braces?,"The initial down payment for metal braces is ₱4,000.","Ang paunang down payment para sa metal braces ay ₱4,000.",Downpayment for metal braces; How much DP for metal braces?; Initial fee for metal braces,Magkano DP sa metal braces?; Initial downpayment para sa metal braces; Magkano unang bayad sa metal braces?
Pricelist,Orthodontics (Braces),Metal Braces - Monthly Adjustment,Monthly Maintenance,"₱1,000 per month",How much is the monthly adjustment for metal braces?,Magkano po ang buwanang adjustment ng metal braces?,"Monthly adjustment for metal braces costs ₱1,000.","Ang buwanang adjustment para sa metal braces ay nagkakahalaga ng ₱1,000 bawat buwan.",Monthly adjustment cost for metal braces; Monthly tightening fee; How much per adjustment for metal braces?,Magkano adjustment kada buwan ng metal braces?; Monthly fee ng metal braces; Magkano pahigpit ng metal braces?
Pricelist,Orthodontics (Braces),Metal Braces - Recementing,Maintenance / Repair,₱250,How much is recementing for metal braces?,Magkano po ang recementing ng bracket sa metal braces?,Recementing a loose metal bracket costs ₱250.,Ang muling pagpapadikit (recementing) ng natanggal na metal bracket ay nagkakahalaga ng ₱250.,Cost to recement metal bracket; Re-attaching bracket price; How much is recementing metal bracket?,Magkano magpakabit ulit ng natanggal na bracket?; Recementing fee metal bracket; Magkano padikit ng bracket sa metal braces?
Pricelist,Orthodontics (Braces),Metal Braces - Lost Bracket Replacement,Replacement,₱500 per bracket,How much is the replacement fee for a lost bracket in metal braces?,Magkano po ang bayad sa nawalang bracket ng metal braces?,A replacement for a lost metal bracket costs ₱500.,Ang bayad sa pagpapalit ng nawalang metal bracket ay ₱500 bawat bracket.,Fee for lost metal bracket; How much if I lost a metal bracket?; Lost bracket price metal braces,Nawala ang bracket ko sa metal braces magkano?; Presyo ng kapalit na metal bracket; Magkano lost bracket fee metal?
Pricelist,Orthodontics (Braces),Ceramic Braces - Total Package,Total Package,"₱45,000",How much do ceramic braces cost?,Magkano po ang kabuuang presyo ng ceramic braces?,"The total package price for ceramic braces is ₱45,000.","Ang kabuuang package price para sa ceramic braces ay ₱45,000.",Price of clear/ceramic braces; Ceramic braces cost; Total package for ceramic braces,Magkano ang clear o ceramic braces?; Presyo ng ceramic braces package; Kabuuang bayad sa ceramic braces
Pricelist,Orthodontics (Braces),Ceramic Braces - Down Payment,Payment Plan / DP,"₱5,500",How much is the down payment for ceramic braces?,Magkano po ang down payment para sa ceramic braces?,"The down payment for ceramic braces is ₱5,500.","Ang paunang down payment para sa ceramic braces ay ₱5,500.",DP for ceramic braces; Initial payment for ceramic braces; How much down payment ceramic braces?,Magkano DP sa ceramic braces?; Initial payment ceramic braces; Magkano paunang bayad sa ceramic braces?
Pricelist,Orthodontics (Braces),Ceramic Braces - Monthly Adjustment,Monthly Maintenance,"₱1,000 per month",How much is the adjustment fee for ceramic braces?,Magkano po ang adjustment fee para sa ceramic braces?,"Monthly adjustment for ceramic braces costs ₱1,000.","Ang buwanang adjustment fee para sa ceramic braces ay nagkakahalaga ng ₱1,000.",Monthly tightening fee for ceramic braces; Adjustment fee ceramic braces; How much per month ceramic braces?,Magkano buwanang adjustment sa ceramic braces?; Monthly tightening fee ceramic braces; Magkano pahigpit ceramic braces?
Pricelist,Orthodontics (Braces),Ceramic Braces - Recementing,Maintenance / Repair,₱250,How much is recementing for ceramic braces?,Magkano po ang recementing para sa ceramic braces?,Recementing a loose ceramic bracket costs ₱250.,Ang recementing o muling pagkakabit ng ceramic bracket ay nagkakahalaga ng ₱250.,Cost to recement ceramic bracket; Ceramic bracket recementing price; How much to reattach ceramic bracket?,Magkano padikit ulit ng ceramic bracket?; Recement fee ceramic braces; Natanggal ang ceramic bracket magkano ikabit?
Pricelist,Orthodontics (Braces),Ceramic Braces - Lost Bracket Replacement,Replacement,"₱1,000 per bracket",How much is the replacement fee for a lost bracket in ceramic braces?,Magkano po ang bayad sa nawalang bracket ng ceramic braces?,"Replacement for a lost ceramic bracket costs ₱1,000.","Ang kapalit na ceramic bracket kapag nawala ay nagkakahalaga ng ₱1,000 bawat bracket.",Fee for lost ceramic bracket; Replacement cost for clear bracket; How much if ceramic bracket is lost?,Magkano kapag nawala ang ceramic bracket?; Replacement fee sa nawalang clear bracket; Presyo ng lost bracket ceramic
Pricelist,Orthodontics (Braces),Self-Ligating Braces - Total Package,Total Package,"₱75,000",How much do self-ligating braces cost?,Magkano po ang kabuuang package ng self-ligating braces?,"The total package price for self-ligating braces is ₱75,000.","Ang kabuuang package price para sa self-ligating braces ay ₱75,000.",Damon / Self-ligating braces cost; Total price of self ligating braces; How much for self-ligating braces?,Magkano ang self-ligating braces?; Presyo ng Damon / self ligating braces; Kabuuang gastos sa self-ligating braces
Pricelist,Orthodontics (Braces),Self-Ligating Braces - Down Payment,Payment Plan / DP,"₱30,000",How much is the down payment for self-ligating braces?,Magkano po ang down payment para sa self-ligating braces?,"The down payment for self-ligating braces is ₱30,000.","Ang down payment para sa self-ligating braces ay ₱30,000.",DP for self ligating braces; Initial fee for self-ligating braces; How much down payment for self ligating?,Magkano DP sa self-ligating braces?; Initial payment self ligating; Paunang bayad sa self-ligating braces
Pricelist,Orthodontics (Braces),Self-Ligating Braces - Monthly Adjustment,Monthly Maintenance,"₱3,500 per adjustment",How much is the adjustment fee for self-ligating braces?,Magkano po ang adjustment fee para sa self-ligating braces?,"The adjustment fee for self-ligating braces costs ₱3,500.","Ang bawat adjustment para sa self-ligating braces ay nagkakahalaga ng ₱3,500.",Adjustment fee for self ligating; Tightening cost for self-ligating braces; How much monthly adjustment self ligating?,Magkano adjustment ng self-ligating braces?; Monthly fee self ligating; Magkano pahigpit ng self-ligating braces?
Pricelist,Orthodontics (Braces),Self-Ligating Braces - Recementing,Maintenance / Repair,₱500,How much is recementing for self-ligating braces?,Magkano po ang recementing para sa self-ligating braces?,Recementing for self-ligating brackets costs ₱500.,Ang muling pagkakabit (recementing) ng self-ligating bracket ay nagkakahalaga ng ₱500.,Recementing self-ligating bracket; Reattachment fee for self ligating; How much to recement self ligating?,Magkano ikabit ulit ang self-ligating bracket?; Recementing fee self ligating; Padikit ng natanggal na self ligating bracket
Pricelist,Orthodontics (Braces),Self-Ligating Braces - Lost Bracket Replacement,Replacement,"₱3,000 per bracket",How much is a lost bracket replacement for self-ligating braces?,Magkano po ang bayad kapag nawalan ng bracket sa self-ligating braces?,"A lost bracket replacement for self-ligating braces costs ₱3,000.","Ang kapalit para sa nawalang self-ligating bracket ay nagkakahalaga ng ₱3,000 bawat bracket.",Lost self-ligating bracket cost; Replacement fee for lost self ligating bracket; How much for replacement self ligating bracket?,Nawala ang self-ligating bracket magkano?; Replacement fee lost bracket self ligating; Presyo ng nawalang self ligating bracket
Pricelist,Orthodontics (Braces),Sapphire Braces - Total Package,Total Package,"₱100,000",How much do sapphire braces cost?,Magkano po ang kabuuang package ng sapphire braces?,"The total package price for sapphire braces is ₱100,000.","Ang kabuuang presyo para sa sapphire braces ay ₱100,000.",Cost of sapphire crystal braces; Total price for sapphire braces; How much are sapphire braces?,Magkano ang sapphire braces?; Presyo ng sapphire crystal braces; Magkano buong bayad sa sapphire braces?
Pricelist,Orthodontics (Braces),Sapphire Braces - Down Payment,Payment Plan / DP,"₱30,000",How much is the down payment for sapphire braces?,Magkano po ang down payment para sa sapphire braces?,"The down payment for sapphire braces is ₱30,000.","Ang down payment para sa sapphire braces ay ₱30,000.",DP for sapphire braces; Initial payment sapphire braces; How much down payment for sapphire?,Magkano DP ng sapphire braces?; Initial payment sa sapphire braces; Paunang bayad sa sapphire braces
Pricelist,Orthodontics (Braces),Sapphire Braces - Monthly Adjustment,Monthly Maintenance,"₱3,000 per adjustment",How much is the adjustment fee for sapphire braces?,Magkano po ang buwanang adjustment fee para sa sapphire braces?,"Monthly adjustment for sapphire braces costs ₱3,000.","Ang buwanang adjustment para sa sapphire braces ay nagkakahalaga ng ₱3,000.",Monthly adjustment cost sapphire braces; Sapphire adjustment fee; How much per adjustment sapphire braces?,Magkano monthly adjustment sapphire braces?; Monthly tightening fee sapphire; Presyo ng adjustment sa sapphire braces
Pricelist,Orthodontics (Braces),Sapphire Braces - Recementing,Maintenance / Repair,₱500,How much is recementing for sapphire braces?,Magkano po ang recementing para sa sapphire braces?,Recementing for sapphire brackets costs ₱500.,Ang muling pagkakabit (recementing) ng bracket sa sapphire braces ay nagkakahalaga ng ₱500.,Recementing sapphire bracket; How much to reattach sapphire bracket?; Reattachment fee sapphire braces,Magkano padikit ulit ng sapphire bracket?; Recement fee sapphire braces; Natanggal na bracket sa sapphire braces presyo
Pricelist,Orthodontics (Braces),Braces Removal - Existing Patients,Debonding / Removal,"₱3,000",How much does braces removal cost for existing patients?,Magkano po ang pagpapatanggal ng braces para sa existing patients?,"Braces removal costs ₱3,000 for existing clinic patients.","Ang pagpapatanggal ng braces (debonding) ay nagkakahalaga ng ₱3,000 para sa mga kasalukuyang pasyente ng klinika.",Cost to remove braces for current patients; Debonding fee existing patients; Braces removal price TeethTalk patients,Magkano tanggal ng braces sa dati nang pasyente?; Removal fee braces existing patient; Magkano magpatanggal ng braces dito nagpakabit?
Pricelist,Orthodontics (Braces),Braces Removal - Non-Patients,Debonding / Removal,"₱5,000",How much does braces removal cost for non-patients?,Magkano po ang pagpapatanggal ng braces para sa mga non-patients / galing sa ibang klinika?,"Braces removal costs ₱5,000 for non-patients / patients from other clinics.","Ang pagpapatanggal ng braces ay nagkakahalaga ng ₱5,000 para sa mga non-patients o nagpakabit mula sa ibang klinika.",Cost to remove braces from outside clinic; Braces removal fee non-patients; Can you remove braces from another clinic?,Magkano magpatanggal ng braces galing sa ibang clinic?; Braces removal fee sa hindi pasyente rito; Pwede ba magpatanggal ng braces kahit sa iba nagpakabit?
Pricelist,Orthodontics (Braces),TADS (Temporary Anchorage Devices / Miniscrews),Orthodontic Anchorage,"₱15,000",How much does TADS cost?,Magkano po ang TADS (miniscrews)?,"TADS (Temporary Anchorage Devices) cost ₱15,000.","Ang TADS (Temporary Anchorage Devices / miniscrews) ay nagkakahalaga ng ₱15,000.",Cost of dental mini screws / TADS; TADS price; How much for temporary anchorage device orthodontic miniscrews?,Presyo ng TADS miniscrew; Magkano ang mini screw sa braces?; Halaga ng temporary anchorage devices
Pricelist,Radiograph (Dental X-Ray),Periapical X-ray,Diagnostic Imaging,₱500,How much is a periapical X-ray?,Magkano po ang periapical X-ray?,A periapical X-ray costs ₱500.,Ang periapical X-ray ay nagkakahalaga ng ₱500.,Price of periapical X-ray; Cost of single tooth X-ray; Small dental X-ray price; PA X-ray fee,Presyo ng periapical X-ray; Magkano ang maliit na dental X-ray?; Magkano X-ray sa isang ngipin?
Pricelist,Radiograph (Dental X-Ray),Panoramic X-ray,Diagnostic Imaging,"₱1,000",How much is a panoramic X-ray?,Magkano po ang panoramic X-ray?,"A panoramic X-ray costs ₱1,000.","Ang panoramic X-ray ay nagkakahalaga ng ₱1,000.",Cost of panoramic X-ray; Full mouth dental X-ray price; Panoramic radiograph fee; OPG X-ray price,Presyo ng panoramic dental X-ray; Magkano full mouth X-ray?; Magkano panoramic radiograph?
Pricelist,Retainers,Hawley Retainer,Orthodontic Retention,"₱5,000 per arch",How much is a Hawley retainer?,Magkano po ang Hawley retainer?,"A Hawley retainer costs ₱5,000 per arch.","Ang tradisyonal na Hawley retainer ay nagkakahalaga ng ₱5,000 bawat arch (itaas o ibaba).",Price of wire/Hawley retainer; Hawley retainer cost per arch; How much is traditional retainer?,Magkano ang retainer na may wire?; Presyo ng Hawley retainer kada arch; Magkano regular retainer pagkatapos ng braces?
Pricelist,Retainers,Clear Retainer / Essex,Orthodontic Retention,"₱10,000 per arch",How much is a clear retainer?,Magkano po ang clear retainer (Essex)?,"A clear retainer (Essex) costs ₱10,000 per arch.","Ang transparent na clear retainer (Essex) ay nagkakahalaga ng ₱10,000 bawat arch (itaas o ibaba).",Cost of clear retainer; Essix retainer price; Invisible retainer cost per arch; Transparent retainer price,Magkano ang clear retainer?; Presyo ng transparent/invisible retainer; Magkano Essix retainer bawat arch?
Pricelist,Retainers,Lingual Retainer (Fixed),Orthodontic Retention,"₱8,000 per arch",How much is a lingual retainer?,Magkano po ang lingual retainer (permanent / fixed)?,"A fixed lingual retainer costs ₱8,000 per arch.","Ang fixed o permanenteng lingual retainer ay nagkakahalaga ng ₱8,000 bawat arch.",Permanent retainer cost; Lingual wire retainer price; Fixed retainer fee per arch,Presyo ng permanent retainer; Magkano ang nakadikit na lingual retainer?; Magkano fixed retainer sa likod ng ngipin?
Pricelist,Retainers,Pontic on Retainer,Retainer Add-on,₱500 per pontic,How much is an additional pontic?,Magkano po ang karagdagang pontic sa retainer?,An additional pontic on a retainer costs ₱500 per pontic.,Ang karagdagang pontic (pekeng ngipin sa retainer) ay nagkakahalaga ng ₱500 bawat pontic.,Cost of pontic on retainer; False tooth on retainer price; Retainer pontic fee,Magkano magpalagay ng ngipin sa retainer?; Presyo ng dagdag na pontic sa retainer; Retainer na may artificial tooth price
Pricelist,TMJ Therapy,TMJ Consultation (Initial),Specialist Consultation,₱500,How much is a TMJ consultation?,Magkano po ang TMJ consultation?,The TMJ consultation fee is ₱500.,Ang paunang consultation fee para sa TMJ ay ₱500.,TMJ checkup cost; TMJ consultation price; How much is jaw pain consultation?,Presyo ng checkup sa TMJ; Magkano pa-checkup ng sumasakit na panga / TMJ?; Magkano consultation sa TMJ specialist?
Pricelist,TMJ Therapy,TMJ Second Appointment,Follow-up Session,"₱1,500",How much is the second TMJ appointment?,Magkano po ang ikalawang (2nd) TMJ appointment?,"The second TMJ appointment costs ₱1,500.","Ang ikalawang appointment para sa TMJ treatment ay nagkakahalaga ng ₱1,500.",Second TMJ session cost; TMJ follow-up fee; Cost of 2nd TMJ appointment,Presyo ng pangalawang TMJ appointment; Magkano ang 2nd visit sa TMJ?; Follow-up checkup cost para sa TMJ
Pricelist,TMJ Therapy,TMJ Appliance,Therapeutic Appliance,"₱10,000",How much is the TMJ appliance?,Magkano po ang TMJ appliance?,"The TMJ appliance costs ₱10,000.","Ang TMJ appliance ay nagkakahalaga ng ₱10,000.",Cost of TMJ splint/appliance; Jaw appliance price; TMJ mouthguard/appliance cost,Presyo ng TMJ splint / appliance; Magkano mouthguard o gamit sa TMJ?; Halaga ng TMJ appliance
Pricelist,TMJ Therapy,TMJ Fourth Appointment (6-Month Package),Extended Treatment Package,"₱30,000 (covers 6 months)",How much is the fourth TMJ appointment?,Magkano po ang ikaapat (4th) na appointment para sa TMJ?,"The fourth TMJ appointment costs ₱30,000, covering a 6-month treatment period.","Ang ikaapat na TMJ appointment ay nagkakahalaga ng ₱30,000, na sumasaklaw sa 6 na buwang gamutan.",Fourth TMJ appointment price; 6-month TMJ package fee; Cost of extended TMJ care,Presyo ng 4th TMJ appointment; Magkano ang 6 months TMJ package?; Halaga ng pang-apat na sesyon sa TMJ
Pricelist,Orthodontic Appliances,Splint,Occlusal Appliance,"₱10,000–₱20,000",How much is a splint?,Magkano po ang occlusal splint?,"An occlusal splint costs ₱10,000 to ₱20,000.","Ang dental splint ay nagkakahalaga ng ₱10,000 hanggang ₱20,000.",Cost of dental splint; Bite splint price; How much is a dental splint?,Presyo ng dental splint; Magkano ang bite splint?; Halaga ng occlusal splint
Pricelist,Orthodontic Appliances,SVED Appliance,Orthodontic Appliance,"₱10,000–₱20,000",How much is an SVED appliance?,Magkano po ang SVED appliance?,"An SVED appliance costs ₱10,000 to ₱20,000.","Ang SVED appliance ay nagkakahalaga ng ₱10,000 hanggang ₱20,000.",SVED appliance price; Cost of SVED bite appliance; How much is SVED?,Presyo ng SVED appliance; Magkano ang SVED?; Halaga ng SVED orthodontic appliance
Pricelist,Orthodontic Appliances,Sagittal Appliance,Arch Expansion Appliance,"₱10,000–₱20,000",How much is a sagittal appliance?,Magkano po ang sagittal appliance?,"A sagittal appliance costs ₱10,000 to ₱20,000.","Ang sagittal appliance ay nagkakahalaga ng ₱10,000 hanggang ₱20,000.",Sagittal appliance cost; Sagittal plate price; How much is sagittal expansion appliance?,Presyo ng sagittal appliance; Magkano ang sagittal plate?; Halaga ng sagittal expander
Pricelist,Orthodontic Appliances,Transverse Appliance,Arch Expansion Appliance,"₱10,000–₱20,000",How much is a transverse appliance?,Magkano po ang transverse appliance?,"A transverse appliance costs ₱10,000 to ₱20,000.","Ang transverse appliance ay nagkakahalaga ng ₱10,000 hanggang ₱20,000.",Transverse appliance price; Cost of transverse expander; How much is transverse appliance?,Presyo ng transverse appliance; Magkano ang transverse expander?; Halaga ng transverse plate
Pricelist,Orthodontic Appliances,Bite Plane,Orthodontic Appliance,"₱10,000",How much is a bite plane?,Magkano po ang bite plane?,"A bite plane costs ₱10,000.","Ang bite plane appliance ay nagkakahalaga ng ₱10,000.",Bite plane cost; Price of anterior/posterior bite plane; How much is a bite plane?,Presyo ng bite plane; Magkano ang dental bite plane?; Halaga ng anterior / posterior bite plane
